iter	Passed	Remaining
695	7727	3375
696	7737	3363
697	7748	3352
698	7760	3341
699	7768	3329
700	7784	3320
701	7795	3309
702	7806	3298
703	7814	3285
704	7822	3273
705	7831	3261
706	7839	3248
707	7847	3236
708	7856	3224
709	7865	3212
710	7875	3201
711	7886	3190
712	7896	3178
713	7915	3170
714	7931	3161
715	7942	3150
716	7956	3140
717	7972	3131
718	7986	3121
719	8001	3111
720	8010	3099
721	8025	3090
722	8038	3079
723	8050	3069
724	8061	3057
725	8071	3046
726	8087	3037
727	8106	3028
728	8126	3021
729	8137	3009
730	8150	2999
731	8164	2989
732	8172	2977
733	8188	2967
734	8200	2956
735	8212	2945
736	8221	2933
737	8229	2921
738	8239	2910
739	8248	2898
740	8257	2886
741	8266	2874
742	8280	2864
743	8299	2855
744	8317	2846
745	8330	2836
746	8345	2826
747	8362	2817
748	8374	2806
749	8383	2794
750	8395	2783
751	8409	2773
752	8419	2761
753	8430	2750
754	8441	2739
755	8450	2727
756	8461	2716
757	8473	2705
758	8486	2694
759	8503	2685
760	8516	2674
761	8532	2664
762	8544	2654
763	8557	2643
764	8565	2631
765	8574	2619
766	8582	2607
767	8590	2595
768	8598	2582
769	8608	2571
770	8616	2559
771	8625	2547
772	8634	2535
773	8642	2523
774	8650	2511
775	8660	2499
776	8669	2488
777	8680	2476
778	8690	2465
779	8708	2456
780	8727	2447
781	8735	2435
782	8749	2424
783	8762	2414
784	8771	2402
785	8784	2391
786	8800	2381
787	8816	2371
788	8826	2360
789	8835	2348
790	8847	2337
791	8859	2326
792	8870	2315
793	8883	2304
794	8898	2294
795	8910	2283
796	8933	2275
797	8944	2264
798	8958	2253
799	8968	2242
800	8979	2230
801	8993	2220
802	9002	2208
803	9010	2196
804	9019	2184
805	9027	2172
806	9037	2161
807	9045	2149
808	9054	2137
809	9064	2126
810	9072	2114
811	9080	2102
812	9087	2090
813	9099	2079
814	9108	2067
815	9127	2058
816	9142	2047
817	9154	2036
818	9169	2026
819	9179	2015
820	9193	2004
821	9205	1993
822	9218	1982
823	9232	1972
824	9242	1960
825	9256	1949
826	9275	1940
827	9285	1928
828	9300	1918
829	9318	1908
830	9333	1898
831	9345	1887
832	9354	1875
833	9367	1864
834	9379	1853
835	9393	1842
836	9401	1830
837	9409	1819
838	9418	1807
839	9427	1795
840	9435	1783
841	9443	1772
842	9452	1760
843	9460	1748
844	9468	1736
845	9476	1725
846	9484	1713
847	9492	1701
848	9502	1689
849	9511	1678
850	9523	1667
851	9532	1655
852	9543	1644
853	9555	1633
854	9564	1622
855	9578	1611
856	9590	1600
857	9600	1588
858	9611	1577
859	9623	1566
860	9639	1556
861	9655	1545
862	9668	1534
863	9677	1523
864	9693	1512
865	9706	1501
866	9721	1491
867	9737	1480
868	9752	1470
869	9769	1459
870	9782	1448
871	9790	1437
872	9803	1426
873	9815	1415
874	9824	1403
875	9836	1392
876	9847	1381
877	9857	1369
878	9866	1358
879	9880	1347
880	9891	1336
881	9901	1324
882	9913	1313
883	9928	1302
884	9937	1291
885	9953	1280
886	9964	1269
887	9979	1258
888	9995	1248
889	10009	1237
890	10024	1226
891	10035	1215
892	10047	1203
893	10059	1192
894	10073	1181
895	10089	1171
896	10097	1159
897	10112	1148
898	10127	1137
899	10141	1126
900	10153	1115
901	10162	1104
902	10173	1092
903	10183	1081
904	10192	1069
905	10200	1058
906	10210	1046
907	10221	1035
908	10234	1024
909	10243	1013
910	10254	1001
911	10268	990
912	10283	979
913	10296	968
914	10304	957
915	10318	946
916	10334	935
917	10347	924
918	10362	913
919	10371	901
920	10384	890
921	10396	879
922	10406	868
923	10416	856
924	10428	845
925	10437	834
926	10449	822
927	10461	811
928	10471	800
929	10481	788
930	10493	777
931	10501	766
932	10509	754
933	10519	743
934	10527	731
935	10538	720
936	10547	709
937	10558	697
938	10566	686
939	10574	674
940	10582	663
941	10591	652
942	10600	640
943	10608	629
944	10616	617
945	10624	606
946	10632	595
947	10640	583
948	10648	572
949	10657	560
950	10666	549
951	10675	538
952	10684	526
953	10693	515
954	10705	504
955	10715	493
956	10731	482
957	10746	471
958	10755	459
959	10770	448
960	10784	437
961	10801	426
962	10813	415
963	10822	404
964	10835	393
965	10848	381
966	10864	370
967	10878	359
968	10888	348
969	10899	337
970	10913	325
971	10923	314
972	10937	303
973	10957	292
974	10967	281
975	10977	269
976	10986	258
977	10995	247
978	11003	236
979	11017	224
980	11025	213
981	11037	202
982	11047	191
983	11060	179
984	11075	168
985	11088	157
986	11099	146
987	11110	134
988	11124	123
989	11142	112
990	11161	101
991	11176	90
992	11192	78
993	11208	67
994	11220	56
995	11233	45
996	11241	33
997	11252	22
998	11265	11
999	11277	0
